AddressLine,PostalCode,City,Canton,HomeLatitude,HomeLongitude,Vendor,Model,SerialNumber,Name,Firmware,PurchaseDate,LatestMaintenance,PortNumber,Timezone,Timestamp,Longitude,Latitude,DeviceState,BatteryLevel
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 09:00:00,8.799000,46.173900,StationChargingCompleted,100
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 09:05:00,8.799055,46.173915,Mowing,98
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 09:12:00,8.798970,46.173925,Mowing,96
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 09:20:00,8.799100,46.173890,Mowing,94
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 09:34:00,8.799021,46.173870,Mowing,91
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 09:48:00,8.799110,46.173950,Mowing,89
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 09:52:00,8.798880,46.174020,Paused,89
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 09:56:00,8.798880,46.174020,Paused,89
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 10:02:00,8.798800,46.173980,Mowing,88
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 10:12:00,8.799050,46.173895,Mowing,86
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 10:18:00,8.799112,46.173920,Error,85
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 10:22:00,8.799112,46.173920,Paused,85
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 10:28:00,8.799050,46.173895,Mowing,84
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 10:45:00,8.799031,46.173929,Mowing,81
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 10:55:00,8.799102,46.173940,Mowing,78
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 11:05:00,8.799050,46.173900,Mowing,74
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 11:15:00,8.799000,46.173900,ReturningToStation,72
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 11:30:00,8.799000,46.173900,StationCharging,72
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 11:40:00,8.799000,46.173900,StationCharging,83
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-11 11:55:00,8.799000,46.173900,StationChargingCompleted,100
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-27 08:45:00,8.799000,46.173900,StationChargingCompleted,100
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-27 08:52:00,8.799060,46.173940,Mowing,98
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-27 09:00:00,8.798950,46.173980,Mowing,96
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-27 09:12:00,8.798910,46.173950,Mowing,93
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-27 09:22:00,8.799110,46.173900,Mowing,91
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-27 09:30:00,8.799080,46.173920,Paused,91
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-27 09:35:00,8.799080,46.173920,Mowing,90
Via ai Monti 8,6600,Locarno,Ticino,46.173900,8.799000,Husqvarna,Automower 315,HUSQ-315-9001,Lago Verde,3.2.1,2021-03-15,2024-06-25,5000,Europe/Zurich,2024-03-27 09:42:00,8.798900,46.173920,Error,89
